"country","simulation","group","points","goals_scored","goals_taken","diff_goals","rank"
"Norway",13,1,6,5,4,1,2
"Poland",13,1,6,3,3,0,3
"Croatia",13,2,9,7,4,3,1
"Mexico",13,2,6,4,3,1,2
"Scotland",13,3,7,7,4,3,1
"Wales",13,3,5,5,3,2,2
"Saudi Arabia",13,3,4,5,5,0,3
"Panama",13,4,5,5,2,3,1
"Algeria",13,4,5,2,1,1,2
"Australia",13,5,7,4,2,2,1
"Haiti",13,5,6,6,4,2,2
"Senegal",13,5,3,4,4,0,3
"Cameroon",13,6,7,6,2,4,1
"Portugal",13,6,6,5,5,0,2
"Jamaica",13,6,4,5,5,0,3
"Costa Rica",13,7,7,5,2,3,1
"Japan",13,7,7,4,2,2,2
"Tunisia",13,7,3,6,5,1,3
"Egypt",13,8,6,5,3,2,1
"Denmark",13,8,6,4,5,-1,2
"Qatar",13,8,4,4,3,1,3
"Uruguay",13,9,6,3,2,1,1
"Uzbekistan",13,9,6,4,4,0,2
"Korea Republic",13,10,6,4,2,2,1
"Ghana",13,10,6,2,3,-1,2
"Chile",13,10,4,4,2,2,3
"France",13,11,9,5,1,4,1
"South Africa",13,11,6,4,2,2,2
"England",13,12,5,3,2,1,1
"Nigeria",13,12,4,4,3,1,2
"Colombia",13,12,4,2,3,-1,3
"United States",14,1,7,5,3,2,1
"Saudi Arabia",14,1,4,3,3,0,2
"Nigeria",14,2,7,6,3,3,1
"Mexico",14,2,4,4,3,1,2
"Denmark",14,2,4,6,7,-1,3
"Japan",14,3,4,6,3,3,1
"Cameroon",14,3,4,4,4,0,2
"Canada",14,3,4,4,5,-1,3
"Iran",14,4,7,3,1,2,1
"Haiti",14,4,4,4,4,0,2
"Spain",14,4,3,6,6,0,3
"Germany",14,5,7,4,1,3,1
"Costa Rica",14,5,5,6,4,2,2
"Australia",14,6,6,6,4,2,1
"Senegal",14,6,6,3,3,0,2
"Ecuador",14,6,4,6,3,3,3
"Norway",14,7,7,7,3,4,1
"South Africa",14,7,4,5,5,0,2
"Poland",14,7,4,3,3,0,3
"England",14,8,9,5,0,5,1
"Qatar",14,8,6,6,3,3,2
"Tunisia",14,9,5,1,0,1,1
"Argentina",14,9,4,3,2,1,2
"Korea Republic",14,9,4,3,3,0,3
"Jordan",14,10,7,5,2,3,1
"Algeria",14,10,4,4,4,0,2
"Netherlands",14,10,4,3,3,0,3
"Austria",14,11,6,4,3,1,1
"Italy",14,11,6,3,2,1,2
"Jamaica",14,11,3,3,3,0,3
"Portugal",14,12,9,7,2,5,1
"Wales",14,12,6,6,4,2,2
"Japan",15,1,7,7,3,4,1
"New Zealand",15,1,4,3,5,-2,2
"United States",15,1,3,2,2,0,3
"Iran",15,2,5,5,3,2,1
"Mexico",15,2,4,6,6,0,2
"Poland",15,2,4,3,3,0,3
"Jordan",15,3,7,4,0,4,1
"Netherlands",15,3,7,3,1,2,2
"Wales",15,4,7,4,0,4,1
"Jamaica",15,4,4,6,6,0,2
"Qatar",15,4,4,3,3,0,3
"Costa Rica",15,5,7,7,2,5,1
"Egypt",15,5,4,1,2,-1,2
"Saudi Arabia",15,6,7,7,2,5,1
"Nigeria",15,6,4,2,3,-1,2
"Croatia",15,6,3,2,2,0,3
"Australia",15,7,6,7,2,5,1
"Panama",15,7,5,4,3,1,2
"Senegal",15,7,4,6,10,-4,3
"Cameroon",15,8,6,5,4,1,1
"England",15,8,6,5,4,1,2
"Scotland",15,8,4,4,3,1,3
"Switzerland",15,9,9,6,2,4,1
"France",15,9,4,3,3,0,2
"Paraguay",15,9,4,1,2,-1,3
"Tunisia",15,10,6,5,3,2,1
"Haiti",15,10,5,5,4,1,2
"Morocco",15,11,9,6,1,5,1
"Germany",15,11,4,3,2,1,2
"Brazil",15,12,6,4,3,1,1
"Norway",15,12,4,4,4,0,2
"Ghana",15,12,4,3,3,0,3
"Uzbekistan",16,1,7,6,1,5,1
"Nigeria",16,1,4,4,5,-1,2
"Nigeria",16,1,4,4,5,-1,3
"Egypt",16,2,6,8,5,3,1
"Colombia",16,2,6,4,1,3,2
"Saudi Arabia",16,2,6,7,6,1,3
"Austria",16,3,7,4,2,2,1
"Canada",16,3,6,3,2,1,2
"Morocco",16,3,3,3,4,-1,3
"Panama",16,4,5,4,3,1,1
"Spain",16,4,5,3,2,1,2
"Paraguay",16,4,3,2,2,0,3
"Haiti",16,5,7,5,2,3,1
"Norway",16,5,6,2,1,1,2
"Qatar",16,6,7,5,3,2,1
"Tunisia",16,6,7,3,1,2,2
"Costa Rica",16,7,7,6,3,3,1
"Poland",16,7,6,9,3,6,2
"Algeria",16,7,4,4,7,-3,3
"Germany",16,8,5,3,2,1,1
"Japan",16,8,4,5,4,1,2
"Ghana",16,8,4,2,3,-1,3
"Australia",16,9,6,6,3,3,1
"Cameroon",16,9,6,4,3,1,2
