"country","simulation","group","points","goals_scored","goals_taken","diff_goals","rank"
"Korea Republic",65,7,4,3,3,0,2
"Ghana",65,7,3,3,4,-1,3
"Australia",65,8,6,7,4,3,1
"Switzerland",65,8,6,4,3,1,2
"Haiti",65,8,4,4,3,1,3
"Jordan",65,9,4,4,2,2,1
"Denmark",65,9,4,4,5,-1,2
"Egypt",65,9,4,2,3,-1,3
"Ecuador",65,10,9,6,3,3,1
"Austria",65,10,4,4,4,0,2
"Scotland",65,10,3,5,3,2,3
"New Zealand",65,11,6,7,2,5,1
"Iran",65,11,6,5,5,0,2
"Spain",65,12,7,3,0,3,1
"Tunisia",65,12,4,2,4,-2,2
"Norway",65,12,3,5,4,1,3
"Qatar",66,1,5,6,3,3,1
"Nigeria",66,1,5,4,3,1,2
"United States",66,1,3,4,7,-3,3
"Saudi Arabia",66,2,7,8,1,7,1
"Morocco",66,2,4,3,6,-3,2
"Netherlands",66,2,3,3,5,-2,3
"Cameroon",66,3,9,9,5,4,1
"Paraguay",66,3,4,7,7,0,2
"Wales",66,3,3,3,5,-2,3
"Switzerland",66,4,5,4,2,2,1
"Uzbekistan",66,4,5,3,2,1,2
"Norway",66,5,7,4,2,2,1
"Tunisia",66,5,4,3,2,1,2
"France",66,5,3,3,4,-1,3
"Uruguay",66,6,6,6,3,3,1
"Egypt",66,6,6,4,2,2,2
"Costa Rica",66,6,6,4,5,-1,3
"Jordan",66,7,9,4,1,3,1
"Croatia",66,7,6,7,4,3,2
"South Africa",66,8,7,2,0,2,1
"Austria",66,8,5,5,2,3,2
"Japan",66,9,9,9,5,4,1
"Chile",66,9,4,5,5,0,2
"Portugal",66,9,4,3,4,-1,3
"Ecuador",66,10,9,8,3,5,1
"Senegal",66,10,6,7,4,3,2
"Scotland",66,11,6,4,2,2,1
"Colombia",66,11,4,4,4,0,2
"Panama",66,11,4,2,3,-1,3
"Korea Republic",66,12,7,7,4,3,1
"Belgium",66,12,4,4,3,1,2
"Ghana",66,12,3,3,3,0,3
"Nigeria",67,1,7,5,3,2,1
"Qatar",67,1,4,2,3,-1,2
"Austria",67,1,3,4,4,0,3
"Norway",67,2,7,8,2,6,1
"Colombia",67,2,4,4,4,0,2
"Korea Republic",67,3,5,4,3,1,1
"Canada",67,3,5,3,2,1,2
"South Africa",67,3,5,3,2,1,3
"Morocco",67,4,7,4,1,3,1
"Saudi Arabia",67,4,4,5,3,2,2
"Jordan",67,5,6,8,4,4,1
"Jamaica",67,5,6,4,2,2,2
"Croatia",67,5,4,2,4,-2,3
"Senegal",67,6,9,8,4,4,1
"Haiti",67,6,6,3,2,1,2
"Costa Rica",67,7,9,10,4,6,1
"Egypt",67,7,4,3,3,0,2
"France",67,7,4,3,5,-2,3
"Uzbekistan",67,8,6,4,2,2,1
"Brazil",67,8,6,5,4,1,2
"Algeria",67,8,3,4,5,-1,3
"Belgium",67,9,9,3,0,3,1
"Scotland",67,9,6,6,2,4,2
"Denmark",67,10,7,7,1,6,1
"Cameroon",67,10,7,5,3,2,2
"England",67,10,3,3,5,-2,3
"Japan",67,11,6,6,5,1,1
"Uruguay",67,11,4,5,4,1,2
"Ghana",67,11,4,4,5,-1,3
"Panama",67,12,7,4,1,3,1
"Chile",67,12,4,4,2,2,2
"Iran",67,12,4,1,3,-2,3
"Korea Republic",68,1,6,3,2,1,1
"United States",68,1,5,3,2,1,2
"Wales",68,1,4,4,3,1,3
"New Zealand",68,2,7,5,1,4,1
"Iran",68,2,5,4,3,1,2
"Jordan",68,3,5,6,3,3,1
"Tunisia",68,3,5,2,1,1,2
"Canada",68,3,4,3,3,0,3
"Qatar",68,4,7,7,3,4,1
"Germany",68,4,6,5,5,0,2
"Brazil",68,4,3,4,3,1,3
"Egypt",68,5,6,5,3,2,1
"Saudi Arabia",68,5,5,3,1,2,2
"Haiti",68,6,9,8,1,7,1
"Portugal",68,6,6,4,6,-2,2
"Senegal",68,6,3,4,3,1,3
"Panama",68,7,7,6,2,4,1
"Netherlands",68,7,7,4,2,2,2
"Costa Rica",68,8,6,5,2,3,1
"Australia",68,8,6,4,3,1,2
"Switzerland",68,8,4,3,3,0,3
"Italy",68,9,7,6,2,4,1
"Algeria",68,9,5,5,4,1,2
"Austria",68,9,4,5,4,1,3
"Belgium",68,10,6,7,5,2,1
"Morocco",68,10,4,4,3,1,2
"Uzbekistan",68,10,4,4,5,-1,3
"Jamaica",68,11,7,4,1,3,1
"Ghana",68,11,6,4,2,2,2
"South Africa",68,12,6,4,2,2,1
"Poland",68,12,6,4,3,1,2
"France",68,12,4,5,5,0,3
"United States",69,1,5,6,4,2,1
"Tunisia",69,1,5,5,3,2,2
"Ecuador",69,1,5,5,4,1,3
"Colombia",69,2,9,4,1,3,1
"Uzbekistan",69,2,4,4,2,2,2
"South Africa",69,3,7,4,1,3,1
"Croatia",69,3,4,1,2,-1,2
"Canada",69,3,3,4,5,-1,3
"Wales",69,4,7,4,0,4,1
"Jamaica",69,4,6,9,5,4,2
"Australia",69,5,6,4,3,1,1
"Brazil",69,5,4,2,2,0,2
"Panama",69,5,4,2,2,0,3
"Haiti",69,6,9,8,1,7,1
"Switzerland",69,6,6,3,3,0,2
"Paraguay",69,7,7,5,2,3,1
"Qatar",69,7,5,4,2,2,2
"Netherlands",69,7,4,3,4,-1,3
"Scotland",69,8,5,8,3,5,1
"Costa Rica",69,8,5,5,3,2,2
"Japan",69,9,6,9,4,5,1
"France",69,9,6,3,2,1,2
"Denmark",69,9,3,4,7,-3,3
"Uruguay",69,10,4,5,4,1,1
"Korea Republic",69,10,4,3,3,0,2
"Austria",69,10,4,3,4,-1,3
"Belgium",69,11,6,6,5,1,1
"Saudi Arabia",69,11,4,5,5,0,2
"Nigeria",69,11,4,3,3,0,3
"Jordan",69,12,7,6,2,4,1
"Germany",69,12,4,4,4,0,2
"Egypt",69,12,4,2,2,0,3
"Ghana",70,1,7,5,1,4,1
"United States",70,1,6,2,2,0,2
"Tunisia",70,2,5,2,1,1,1
"Ecuador",70,2,4,5,5,0,2
"Mexico",70,2,3,4,4,0,3
"Cameroon",70,3,9,5,1,4,1
"Germany",70,3,4,4,4,0,2
"Jamaica",70,4,7,4,1,3,1
"Uzbekistan",70,4,6,5,3,2,2
"Switzerland",70,4,4,2,2,0,3
"Croatia",70,5,6,5,2,3,1
"Panama",70,5,6,4,3,1,2
"Scotland",70,5,4,2,2,0,3
"England",70,6,6,3,3,0,1
"Chile",70,6,4,3,3,0,2
"Egypt",70,6,4,2,2,0,3
"Poland",70,7,7,4,2,2,1
"Saudi Arabia",70,7,6,6,4,2,2
"Jordan",70,8,4,4,3,1,1
"Argentina",70,8,4,3,3,0,2
"Wales",70,8,4,1,1,0,3
"Austria",70,9,6,5,3,2,1
"Iran",70,9,6,3,2,1,2
"South Africa",70,9,4,1,2,-1,3
"Nigeria",70,10,6,4,2,2,1
"Costa Rica",70,10,5,3,2,1,2
"Colombia",70,10,4,2,2,0,3
"Algeria",70,11,7,5,1,4,1
"New Zealand",70,11,4,4,6,-2,2
"Uruguay",70,11,3,4,5,-1,3
"Haiti",70,12,9,7,0,7,1
"Senegal",70,12,2,1,2,-1,2
"United States",71,1,9,8,2,6,1
"Ghana",71,1,4,2,3,-1,2
"Korea Republic",71,1,3,3,5,-2,3
"Denmark",71,2,7,6,1,5,1
"Mexico",71,2,6,8,4,4,2
"Canada",71,3,5,6,1,5,1
"Morocco",71,3,5,5,2,3,2
"Saudi Arabia",71,3,5,4,3,1,3
"Costa Rica",71,4,7,5,2,3,1
"Japan",71,4,4,3,3,0,2
"Portugal",71,4,4,3,4,-1,3
"Panama",71,5,6,5,1,4,1
"Algeria",71,5,6,5,7,-2,2
"Poland",71,5,4,2,2,0,3
"Australia",71,6,6,4,1,3,1
"Tunisia",71,6,6,3,3,0,2
"Uruguay",71,6,4,2,2,0,3
"Belgium",71,7,7,4,1,3,1
"Cameroon",71,7,4,3,2,1,2
"Jamaica",71,7,4,2,2,0,3
"Jordan",71,8,7,11,1,10,1
"Norway",71,8,4,3,2,1,2
"Italy",71,8,4,1,7,-6,3
"Senegal",71,9,7,8,2,6,1
"New Zealand",71,9,4,5,4,1,2
"Paraguay",71,10,9,6,2,4,1
"Austria",71,10,4,2,2,0,2
"Ecuador",71,11,5,4,2,2,1
"Switzerland",71,11,4,2,3,-1,2
"Egypt",71,11,3,3,3,0,3
"South Africa",71,12,7,7,3,4,1
"Wales",71,12,7,3,1,2,2
"Cameroon",72,1,7,4,2,2,1
"Japan",72,1,6,6,4,2,2
"United States",72,1,4,3,2,1,3
"Senegal",72,2,5,6,3,3,1
"Uzbekistan",72,2,5,4,1,3,2
"Paraguay",72,2,4,5,7,-2,3
"Canada",72,3,6,4,4,0,1
"Qatar",72,3,4,4,3,1,2
"Qatar",72,3,4,4,3,1,3
"South Africa",72,4,6,10,3,7,1
"Korea Republic",72,4,6,8,5,3,2
"Portugal",72,5,7,3,0,3,1
"Jordan",72,5,4,3,2,1,2
"Nigeria",72,6,7,5,2,3,1
"New Zealand",72,6,5,2,0,2,2
"Haiti",72,7,9,9,2,7,1
"Egypt",72,7,6,2,3,-1,2
"Belgium",72,7,3,5,6,-1,3
"Iran",72,8,7,7,3,4,1
"Tunisia",72,8,5,6,2,4,2
"France",72,8,4,3,2,1,3
"Costa Rica",72,9,5,3,1,2,1
"Uruguay",72,9,4,4,2,2,2
"Germany",72,9,4,2,3,-1,3
"Saudi Arabia",72,10,7,4,2,2,1
"Colombia",72,10,4,3,3,0,2
"Morocco",72,10,3,2,3,-1,3
"Ghana",72,11,6,5,4,1,1
"Brazil",72,11,6,4,4,0,2
"Australia",72,11,3,5,5,0,3
"Norway",72,12,7,5,1,4,1
"Panama",72,12,4,4,2,2,2
"United States",73,1,5,5,3,2,1
"New Zealand",73,1,3,3,3,0,2
"Senegal",73,1,3,2,2,0,3
"Mexico",73,2,7,4,2,2,1
"Egypt",73,2,6,5,2,3,2
"Ecuador",73,2,4,3,5,-2,3
"Ghana",73,3,5,3,1,2,1
"Colombia",73,3,5,3,2,1,2
"Japan",73,3,4,3,3,0,3
"Wales",73,4,6,5,4,1,1
"Morocco",73,4,5,5,3,2,2
"Haiti",73,4,4,4,4,0,3
"Netherlands",73,5,6,3,2,1,1
"Qatar",73,5,4,2,2,0,2
"Portugal",73,5,4,1,3,-2,3
"Costa Rica",73,6,7,4,2,2,1
"Korea Republic",73,6,6,6,4,2,2
"South Africa",73,7,6,6,3,3,1
"Uruguay",73,7,5,6,4,2,2
"Uzbekistan",73,8,6,6,3,3,1
"Italy",73,8,4,3,2,1,2
"Algeria",73,8,4,2,4,-2,3
"Tunisia",73,9,7,6,2,4,1
"Panama",73,9,7,5,2,3,2
"Australia",73,9,3,3,4,-1,3
"Jamaica",73,10,7,4,0,4,1
"Jordan",73,10,5,3,2,1,2
"France",73,11,6,2,2,0,1
"Nigeria",73,11,4,3,3,0,2
"Saudi Arabia",73,11,4,3,3,0,3
"Cameroon",73,12,7,5,2,3,1
"England",73,12,7,5,2,3,2
"Iran",74,1,9,6,1,5,1
"Ecuador",74,1,4,2,2,0,2
"Tunisia",74,1,3,3,5,-2,3
"Qatar",74,2,9,8,1,7,1
"Chile",74,2,4,5,3,2,2
"Scotland",74,3,9,6,3,3,1
"Canada",74,3,4,4,1,3,2
"Wales",74,3,4,3,1,2,3
"Nigeria",74,4,6,6,3,3,1
"Uruguay",74,4,5,5,2,3,2
"Croatia",74,4,4,4,4,0,3
"Uzbekistan",74,5,9,6,2,4,1
"Senegal",74,5,4,4,4,0,2
"Colombia",74,6,7,8,3,5,1
"Portugal",74,6,7,3,1,2,2
"Panama",74,7,6,5,3,2,1
"Belgium",74,7,6,3,5,-2,2
"Switzerland",74,7,3,5,3,2,3
"Egypt",74,8,7,5,2,3,1
"Costa Rica",74,8,6,4,4,0,2
"Netherlands",74,8,4,3,3,0,3
"Germany",74,9,5,4,3,1,1
"New Zealand",74,9,4,5,4,1,2
"Japan",74,9,4,4,4,0,3
"Denmark",74,10,5,2,0,2,1
"Jordan",74,10,4,5,4,1,2
"Algeria",74,10,4,6,6,0,3
"Argentina",74,11,5,4,3,1,1
"Ghana",74,11,5,3,2,1,2
"Korea Republic",74,11,3,2,2,0,3
"England",74,12,7,9,4,5,1
"Poland",74,12,7,4,1,3,2
"Netherlands",75,1,6,3,3,0,1
"United States",75,1,5,2,0,2,2
"Jordan",75,1,4,3,3,0,3
"New Zealand",75,2,7,7,3,4,1
"Australia",75,2,5,8,4,4,2
"Canada",75,3,9,6,0,6,1
"Colombia",75,3,6,4,5,-1,2
"Jamaica",75,4,7,4,0,4,1
"Ecuador",75,4,6,4,2,2,2
"Wales",75,4,3,4,4,0,3
"Haiti",75,5,5,5,4,1,1
"Paraguay",75,5,5,4,3,1,2
"Morocco",75,6,6,5,2,3,1
"Costa Rica",75,6,6,3,2,1,2
"Italy",75,6,4,4,5,-1,3
"Iran",75,7,5,3,2,1,1
"Ghana",75,7,4,4,3,1,2
"Denmark",75,7,4,2,1,1,3
"Tunisia",75,8,6,8,4,4,1
"Spain",75,8,6,6,4,2,2
"Japan",75,8,4,4,7,-3,3
"Poland",75,9,5,4,3,1,1
"Egypt",75,9,5,3,2,1,2
"Uzbekistan",75,9,4,6,3,3,3
"Saudi Arabia",75,10,9,6,1,5,1
"Chile",75,10,6,4,5,-1,2
"Korea Republic",75,11,6,7,3,4,1
"South Africa",75,11,5,2,0,2,2
"Croatia",75,11,4,2,3,-1,3
"Portugal",75,12,7,7,1,6,1
"Norway",75,12,5,5,4,1,2
"Cameroon",75,12,4,3,5,-2,3
"Egypt",76,1,6,6,4,2,1
"Colombia",76,1,4,4,2,2,2
"United States",76,1,4,2,3,-1,3
"Austria",76,2,6,4,3,1,1
"Paraguay",76,2,6,4,3,1,2
"Saudi Arabia",76,2,6,3,2,1,3
"Scotland",76,3,9,6,3,3,1
"Senegal",76,3,4,5,5,0,2
"Algeria",76,4,6,7,3,4,1
"Wales",76,4,6,3,3,0,2
"Haiti",76,4,4,6,6,0,3
"Morocco",76,5,7,5,3,2,1
"Germany",76,5,4,5,3,2,2
"Uruguay",76,5,4,2,4,-2,3
"Costa Rica",76,6,5,8,3,5,1
"Norway",76,6,5,3,2,1,2
"Belgium",76,6,4,4,8,-4,3
"Korea Republic",76,7,9,10,3,7,1
"Switzerland",76,7,4,4,5,-1,2
"Netherlands",76,8,9,6,1,5,1
"England",76,8,6,4,1,3,2
"New Zealand",76,9,9,5,1,4,1
"Nigeria",76,9,6,4,2,2,2
"Argentina",76,9,3,1,2,-1,3
"Ecuador",76,10,7,5,3,2,1
"Spain",76,10,6,9,4,5,2
"Ghana",76,11,9,4,0,4,1
"Japan",76,11,4,4,4,0,2
"Italy",76,11,3,5,3,2,3
"Poland",76,12,6,6,2,4,1
"Jordan",76,12,4,4,5,-1,2
"Jordan",76,12,4,4,5,-1,3
"Australia",77,1,7,4,1,3,1
"United States",77,1,6,5,4,1,2
"Saudi Arabia",77,2,9,6,2,4,1
"Austria",77,2,4,4,3,1,2
"Egypt",77,2,4,1,1,0,3
"Netherlands",77,3,6,6,3,3,1
"Uzbekistan",77,3,4,5,5,0,2
"Algeria",77,3,4,4,5,-1,3
"Panama",77,4,6,6,4,2,1
"Morocco",77,4,4,7,5,2,2
"England",77,4,4,4,6,-2,3
"Korea Republic",77,5,5,5,2,3,1
"Haiti",77,5,5,3,2,1,2
"Brazil",77,5,4,6,7,-1,3
"New Zealand",77,6,5,6,2,4,1
"Nigeria",77,6,3,3,3,0,2
"Nigeria",77,6,3,3,3,0,3
"Argentina",77,7,4,6,4,2,1
"Iran",77,7,4,4,4,0,2
"Tunisia",77,7,4,2,2,0,3
"Cameroon",77,8,7,4,1,3,1
"Chile",77,8,4,3,3,0,2
"France",77,8,4,2,3,-1,3
"Wales",77,9,7,3,1,2,1
"Qatar",77,9,5,4,2,2,2
"Jordan",77,10,5,4,0,4,1
"Switzerland",77,10,5,3,1,2,2
"Poland",77,11,7,3,0,3,1
"South Africa",77,11,6,4,2,2,2
"Denmark",77,12,5,5,3,2,1
"Norway",77,12,5,4,2,2,2
"Ghana",77,12,3,4,6,-2,3
"Norway",78,1,5,4,2,2,1
"Ecuador",78,1,4,3,2,1,2
"Germany",78,1,4,2,3,-1,3
"New Zealand",78,2,6,6,3,3,1
"Tunisia",78,2,6,3,3,0,2
"Iran",78,2,4,3,2,1,3
"Austria",78,3,9,6,1,5,1
"Paraguay",78,3,6,6,3,3,2
"Qatar",78,4,7,2,0,2,1
"Algeria",78,4,6,2,1,1,2
"Denmark",78,4,4,2,2,0,3
"Australia",78,5,6,9,3,6,1
"Costa Rica",78,5,6,3,2,1,2
"Chile",78,6,9,9,1,8,1
"Egypt",78,6,3,4,5,-1,2
"Jamaica",78,7,7,5,2,3,1
"Ghana",78,7,5,4,2,2,2
"Wales",78,7,4,3,3,0,3
"Cameroon",78,8,9,5,2,3,1
"Japan",78,8,4,5,4,1,2
"Portugal",78,8,4,2,2,0,3
"Scotland",78,9,6,8,5,3,1
"Panama",78,9,5,5,4,1,2
"Belgium",78,9,4,7,7,0,3
"Morocco",78,10,9,9,3,6,1
"Netherlands",78,10,4,6,6,0,2
"Haiti",78,10,4,4,5,-1,3
"Uzbekistan",78,11,7,5,2,3,1
"Nigeria",78,11,4,8,6,2,2
"Italy",78,11,4,5,8,-3,3
"Uruguay",78,12,7,4,2,2,1
"South Africa",78,12,6,7,1,6,2
"United States",79,1,7,4,1,3,1
"Iran",79,1,4,3,4,-1,2
"New Zealand",79,1,3,6,5,1,3
"Uzbekistan",79,2,7,3,1,2,1
"Mexico",79,2,4,2,2,0,2
"Algeria",79,2,3,0,0,0,3
"Egypt",79,3,5,2,0,2,1
"Jordan",79,3,5,2,1,1,2
"Wales",79,3,3,2,2,0,3
"South Africa",79,4,9,4,1,3,1
"Denmark",79,4,4,3,3,0,2
"Norway",79,4,4,2,2,0,3
"Panama",79,5,9,8,3,5,1
"Argentina",79,5,6,3,2,1,2
"Ghana",79,6,6,5,2,3,1
"Scotland",79,6,6,4,2,2,2
"Uruguay",79,6,6,3,2,1,3
"Italy",79,7,7,8,2,6,1
"Haiti",79,7,5,5,2,3,2
"Australia",79,7,4,5,6,-1,3
"Japan",79,8,7,4,2,2,1
"Cameroon",79,8,4,4,3,1,2
"Costa Rica",79,9,6,7,3,4,1
"Colombia",79,9,6,8,7,1,2
"Korea Republic",79,9,4,2,2,0,3
"Qatar",79,10,5,3,2,1,1
"Spain",79,10,4,5,4,1,2
"Chile",79,10,4,4,5,-1,3
"Ecuador",79,11,9,4,0,4,1
"Senegal",79,11,6,3,3,0,2
"Portugal",79,12,9,5,2,3,1
"Saudi Arabia",79,12,4,4,3,1,2
"Saudi Arabia",80,1,5,6,3,3,1
"United States",80,1,4,3,2,1,2
"Croatia",80,1,4,5,6,-1,3
"Mexico",80,2,9,10,3,7,1
"Poland",80,2,6,6,5,1,2
"Ghana",80,2,3,2,3,-1,3
"New Zealand",80,3,6,6,4,2,1
"Canada",80,3,4,5,4,1,2
"Wales",80,3,4,5,4,1,3
"Argentina",80,4,3,3,3,0,1
"Qatar",80,4,3,3,3,0,2
"Tunisia",80,4,3,2,2,0,3
"Chile",80,5,7,6,1,5,1
"Portugal",80,5,4,1,1,0,2
"Costa Rica",80,6,9,5,1,4,1
"Spain",80,6,4,4,3,1,2
"Switzerland",80,6,3,3,5,-2,3
"Netherlands",80,7,7,4,2,2,1
"Ecuador",80,7,5,6,5,1,2
"Cameroon",80,8,7,3,1,2,1
"Brazil",80,8,6,2,1,1,2
"Uzbekistan",80,9,6,5,4,1,1
"Italy",80,9,6,4,3,1,2
"Morocco",80,9,6,2,1,1,3
"Jordan",80,10,7,5,3,2,1
"Austria",80,10,5,4,2,2,2
"Nigeria",80,10,4,4,4,0,3
"France",80,11,5,3,1,2,1
"Algeria",80,11,3,2,2,0,2
"Algeria",80,11,3,2,2,0,3
"Korea Republic",80,12,9,8,2,6,1
"Haiti",80,12,6,4,5,-1,2
"Senegal",81,1,5,5,4,1,1
"Ecuador",81,1,4,4,4,0,2
"Iran",81,1,4,1,1,0,3
"Algeria",81,2,9,6,2,4,1
"Mexico",81,2,3,3,3,0,2
"Nigeria",81,3,6,5,2,3,1
"New Zealand",81,3,6,3,2,1,2
"Colombia",81,3,3,3,4,-1,3
"Norway",81,4,9,4,1,3,1
"Tunisia",81,4,6,3,2,1,2
"Uzbekistan",81,4,3,3,3,0,3
"Brazil",81,5,7,5,2,3,1
"Ghana",81,5,4,3,2,1,2
"Korea Republic",81,5,4,3,3,0,3
"Cameroon",81,6,9,6,2,4,1
"Jamaica",81,6,6,5,3,2,2
"Spain",81,7,7,7,3,4,1
"Haiti",81,7,4,3,3,0,2
"Morocco",81,7,3,6,6,0,3
"Scotland",81,8,9,8,1,7,1
"Portugal",81,8,6,3,2,1,2
"Australia",81,9,5,4,2,2,1
"South Africa",81,9,4,6,5,1,2
"Argentina",81,9,4,2,3,-1,3
"Paraguay",81,10,6,5,3,2,1
"Panama",81,10,5,4,3,1,2
"France",81,10,4,2,3,-1,3
"England",81,11,9,4,1,3,1
"Austria",81,11,6,7,4,3,2
"Costa Rica",81,11,3,5,5,0,3
"Italy",81,12,6,5,2,3,1
"Jordan",81,12,5,2,1,1,2
"South Africa",82,1,6,7,3,4,1
"United States",82,1,6,5,4,1,2
"Paraguay",82,1,6,3,3,0,3
"Mexico",82,2,5,4,3,1,1
"Ghana",82,2,4,3,2,1,2
"Chile",82,2,4,2,3,-1,3
"Ecuador",82,3,9,5,1,4,1
"Canada",82,3,6,5,2,3,2
"Portugal",82,4,5,2,0,2,1
"Jamaica",82,4,4,4,3,1,2
"Saudi Arabia",82,4,4,3,4,-1,3
"Uruguay",82,5,6,5,3,2,1
"Iran",82,5,5,5,3,2,2
"Haiti",82,5,4,3,2,1,3
"Wales",82,6,6,9,4,5,1
"Panama",82,6,4,5,4,1,2
"Korea Republic",82,6,4,2,2,0,3
"Egypt",82,7,7,9,3,6,1
"Italy",82,7,5,4,2,2,2
"England",82,8,7,7,3,4,1
"New Zealand",82,8,4,3,2,1,2
"France",82,9,5,4,3,1,1
"Uzbekistan",82,9,5,3,2,1,2
"Algeria",82,9,4,4,4,0,3
"Senegal",82,10,7,7,5,2,1
"Qatar",82,10,5,6,5,1,2
"Scotland",82,10,4,6,6,0,3
"Morocco",82,11,9,4,1,3,1
"Jordan",82,11,4,5,1,4,2
"Colombia",82,12,7,6,2,4,1
"Cameroon",82,12,4,5,4,1,2
"Spain",82,12,4,3,3,0,3
"United States",83,1,6,5,4,1,1
"Egypt",83,1,6,4,3,1,2
"Germany",83,1,3,4,5,-1,3
"Ecuador",83,2,7,5,3,2,1
"Austria",83,2,5,3,2,1,2
"Cameroon",83,3,9,10,2,8,1
"Canada",83,3,6,7,4,3,2
"Ghana",83,4,5,5,3,2,1
"Jamaica",83,4,5,3,2,1,2
"Scotland",83,5,7,5,3,2,1
"Wales",83,5,4,5,5,0,2
"Argentina",83,5,3,5,5,0,3
"Japan",83,6,9,3,0,3,1
"Italy",83,6,4,3,2,1,2
"Netherlands",83,6,4,2,2,0,3
"Croatia",83,7,6,4,3,1,1
"England",83,7,4,4,2,2,2
"Haiti",83,7,4,4,6,-2,3
"New Zealand",83,8,5,7,5,2,1
"Brazil",83,8,3,4,4,0,2
"Iran",83,8,3,4,4,0,3
"Tunisia",83,9,7,4,2,2,1
"Jordan",83,9,6,6,3,3,2
"Portugal",83,10,7,4,2,2,1
"Morocco",83,10,4,6,3,3,2
"Uzbekistan",83,10,4,3,4,-1,3
"Saudi Arabia",83,11,6,7,2,5,1
"Spain",83,11,4,2,3,-1,2
"Nigeria",83,11,4,4,6,-2,3
"Poland",83,12,7,9,4,5,1
"Paraguay",83,12,4,3,3,0,2
"South Africa",83,12,3,2,2,0,3
"Egypt",84,1,7,3,1,2,1
"Croatia",84,1,5,6,3,3,2
"Norway",84,2,9,7,0,7,1
"Tunisia",84,2,4,4,4,0,2
"Mexico",84,2,3,3,6,-3,3
"Cameroon",84,3,5,4,3,1,1
"Denmark",84,3,5,2,1,1,2
"Canada",84,3,4,3,3,0,3
"Haiti",84,4,6,6,2,4,1
"Japan",84,4,6,4,5,-1,2
"Italy",84,4,4,2,3,-1,3
"Uzbekistan",84,5,7,8,5,3,1
"England",84,5,5,7,6,1,2
"Ghana",84,6,7,8,5,3,1
"Scotland",84,6,4,5,4,1,2
"New Zealand",84,7,6,5,1,4,1
"Morocco",84,7,4,2,3,-1,2
"Argentina",84,7,4,2,4,-2,3
"Korea Republic",84,8,6,5,3,2,1
"Uruguay",84,8,6,2,1,1,2
"Costa Rica",84,8,3,4,5,-1,3
"Panama",84,9,5,4,1,3,1
"Netherlands",84,9,5,3,2,1,2
"Australia",84,9,4,3,3,0,3
"Qatar",84,10,7,5,0,5,1
"Algeria",84,10,7,3,1,2,2
"Colombia",84,11,5,4,2,2,1
"South Africa",84,11,5,2,1,1,2
"Jamaica",84,11,3,2,4,-2,3
"France",84,12,7,4,2,2,1
"Iran",84,12,5,5,3,2,2
"Switzerland",84,12,3,1,3,-2,3
"Iran",85,1,9,8,2,6,1
"United States",85,1,4,4,4,0,2
"Tunisia",85,2,5,2,0,2,1
"Norway",85,2,4,3,4,-1,2
"Mexico",85,2,3,3,3,0,3
"Saudi Arabia",85,3,7,4,1,3,1
"Canada",85,3,5,4,2,2,2
"Chile",85,3,4,4,4,0,3
"Uruguay",85,4,6,7,5,2,1
"Haiti",85,4,5,4,3,1,2
"Algeria",85,4,4,3,3,0,3
"Switzerland",85,5,7,8,3,5,1
"Ghana",85,5,4,4,3,1,2
"Cameroon",85,6,5,7,4,3,1
"Netherlands",85,6,5,4,3,1,2
"Egypt",85,7,6,6,3,3,1
"Italy",85,7,6,6,4,2,2
"Scotland",85,8,9,7,0,7,1
"Wales",85,8,4,4,2,2,2
"Uzbekistan",85,8,4,2,2,0,3
"Nigeria",85,9,9,6,3,3,1
"Qatar",85,9,4,4,2,2,2
"Argentina",85,9,4,3,1,2,3
"Portugal",85,10,6,3,2,1,1
"Panama",85,10,4,8,5,3,2
"Korea Republic",85,10,4,5,5,0,3
"Jordan",85,11,7,4,2,2,1
"Paraguay",85,11,5,2,1,1,2
"Germany",85,11,4,5,4,1,3
"Australia",85,12,6,3,1,2,1
"Belgium",85,12,5,1,0,1,2
"Ecuador",85,12,4,2,2,0,3
"United States",86,1,9,5,2,3,1
"Uzbekistan",86,1,3,5,5,0,2
"Colombia",86,1,3,5,6,-1,3
"Cameroon",86,2,7,6,1,5,1
"Chile",86,2,6,5,1,4,2
"Canada",86,3,7,5,2,3,1
"New Zealand",86,3,4,2,2,0,2
"Poland",86,4,7,4,1,3,1
"Qatar",86,4,7,2,0,2,2
"Japan",86,5,6,6,4,2,1
"Panama",86,5,6,5,3,2,2
"Croatia",86,6,6,6,1,5,1
"Egypt",86,6,6,5,4,1,2
"Haiti",86,6,6,4,4,0,3
"Austria",86,7,5,6,3,3,1
"Costa Rica",86,7,4,4,4,0,2
"Belgium",86,7,4,4,5,-1,3
"Jordan",86,8,7,5,2,3,1
"Senegal",86,8,4,6,6,0,2
"Scotland",86,8,4,2,2,0,3
"Wales",86,9,7,4,1,3,1
"Saudi Arabia",86,9,4,5,4,1,2
"Spain",86,9,4,6,6,0,3
"Ghana",86,10,7,4,2,2,1
"Iran",86,10,4,2,2,0,2
"Uruguay",86,10,3,4,4,0,3
"Australia",86,11,5,5,3,2,1
"Ecuador",86,11,3,3,3,0,2
"Netherlands",86,11,3,2,2,0,3
"Italy",86,12,6,6,5,1,1
"Denmark",86,12,5,5,4,1,2
"Paraguay",86,12,4,2,2,0,3
"Saudi Arabia",87,1,6,5,3,2,1
