"team","group_team","opp_team","group_opp_team","match_num_quarter","simulation"
"Croatia","5","Spain","8","1","79"
"France","12","Iran","2","2","79"
"Senegal","6","Korea Republic","1","3","79"
"Italy","5","Portugal","10","4","79"
"Brazil","8","Portugal","7","1","80"
"Belgium","3","Argentina","11","2","80"
"Austria","1","Norway","1","3","80"
"Korea Republic","2","Spain","10","4","80"
"Colombia","6","Belgium","11","1","81"
"Italy","12","France","2","2","81"
"Paraguay","7","Korea Republic","4","3","81"
"Algeria","11","Netherlands","8","4","81"
"Italy","12","Brazil","4","1","82"
"Canada","1","Argentina","5","2","82"
"England","9","Mexico","2","3","82"
"Portugal","8","United States","1","4","82"
"Spain","9","Germany","2","1","83"
"Portugal","12","Croatia","8","2","83"
"Belgium","10","Switzerland","4","3","83"
"Brazil","5","Italy","3","4","83"
"Netherlands","3","Italy","7","1","84"
"Brazil","1","Argentina","2","2","84"
"Belgium","6","New Zealand","12","3","84"
"Uruguay","8","England","12","4","84"
"France","4","Denmark","12","1","85"
"Costa Rica","6","Belgium","9","2","85"
"Brazil","3","Korea Republic","11","3","85"
"Italy","10","Argentina","6","4","85"
"Spain","9","Mexico","2","1","86"
"Iran","3","France","4","2","86"
"Argentina","12","Brazil","6","3","86"
"Denmark","8","Wales","7","4","86"
"Denmark","3","Belgium","6","1","87"
"Brazil","8","Switzerland","10","2","87"
"Morocco","12","France","5","3","87"
"Ecuador","3","Portugal","11","4","87"
"Uruguay","4","Argentina","12","1","88"
"Portugal","5","Germany","12","2","88"
"England","10","United States","1","3","88"
"Mexico","5","Brazil","3","4","88"
"Japan","10","Argentina","10","1","89"
"Portugal","6","Italy","5","2","89"
"United States","1","Denmark","8","3","89"
"Algeria","12","Brazil","1","4","89"
"Colombia","10","Ecuador","9","1","90"
"Japan","2","Wales","4","2","90"
"Argentina","6","Portugal","7","3","90"
"United States","1","France","2","4","90"
"France","12","Italy","2","1","91"
"England","8","Portugal","7","2","91"
"Colombia","5","Korea Republic","11","3","91"
"Germany","9","Brazil","10","4","91"
"Paraguay","12","Brazil","10","1","92"
"Norway","12","Italy","6","2","92"
"Germany","9","France","11","3","92"
"Tunisia","1","Scotland","1","4","92"
"Belgium","8","Italy","4","1","93"
"Brazil","8","Switzerland","12","2","93"
"Denmark","1","Argentina","9","3","93"
"Mexico","2","Chile","4","4","93"
"Senegal","6","Mexico","4","1","94"
"Belgium","1","France","8","2","94"
"Brazil","1","Chile","5","3","94"
"England","9","Paraguay","3","4","94"
"Netherlands","5","France","9","1","95"
"England","7","Belgium","8","2","95"
"Brazil","9","Senegal","1","3","95"
"Norway","11","Wales","6","4","95"
"Portugal","11","Italy","4","1","96"
"Brazil","6","Denmark","9","2","96"
"Norway","12","Wales","10","3","96"
"Spain","4","Paraguay","10","4","96"
"Senegal","10","Netherlands","11","1","97"
"Germany","4","France","7","2","97"
"Spain","11","Belgium","4","3","97"
"Colombia","6","Denmark","8","4","97"
"Japan","6","Portugal","6","1","98"
"Belgium","10","Paraguay","4","2","98"
"Denmark","11","Brazil","8","3","98"
"Norway","1","Germany","6","4","98"
"Argentina","12","France","10","1","99"
"Netherlands","8","Belgium","7","2","99"
"Mexico","2","Nigeria","2","3","99"
"Italy","11","Spain","4","4","99"
"Italy","8","Belgium","11","1","100"
"Chile","3","Argentina","7","2","100"
"Poland","9","France","6","3","100"
"Brazil","1","Croatia","12","4","100"
