"team","group_team","rank_team","opp_team","group_opp_team","rank_opp","match_num","simulation"
"Canada",3,3,"Tunisia",4,2,5,47
"Saudi Arabia",3,1,"Paraguay",11,3,6,47
"Ghana",10,3,"Australia",10,2,7,47
"Norway",1,2,"Japan",5,1,8,47
"Costa Rica",5,1,"Ecuador",3,3,1,48
"Panama",6,3,"South Africa",7,1,2,48
"Mexico",2,3,"Austria",11,3,3,48
"Saudi Arabia",4,2,"Poland",8,1,4,48
"Ghana",11,1,"Canada",3,2,5,48
"Wales",9,2,"Qatar",2,2,6,48
"Uzbekistan",10,2,"New Zealand",12,1,7,48
"Croatia",7,2,"Chile",12,2,8,48
"Cameroon",10,1,"Panama",5,1,1,49
"Haiti",6,3,"Nigeria",3,2,2,49
"Ghana",4,1,"Canada",3,1,3,49
"Egypt",9,2,"Qatar",7,3,4,49
"Algeria",8,2,"South Africa",11,1,5,49
"Iran",2,1,"Chile",7,1,6,49
"Poland",6,1,"New Zealand",2,2,7,49
"Spain",9,1,"Japan",6,2,8,49
"Jordan",3,1,"Japan",6,1,1,50
"Scotland",8,2,"Saudi Arabia",5,1,2,50
"Panama",9,1,"Wales",1,3,3,50
"Canada",3,2,"Iran",1,2,4,50
"Algeria",4,2,"Argentina",7,1,5,50
"Ghana",7,2,"Uzbekistan",2,3,6,50
"Croatia",4,1,"South Africa",12,1,7,50
"Austria",5,2,"New Zealand",11,1,8,50
"Argentina",10,3,"Jamaica",10,2,1,51
"Cameroon",5,1,"United States",1,3,2,51
"Norway",6,1,"Korea Republic",8,1,3,51
"Ecuador",3,3,"England",11,3,4,51
"Tunisia",3,2,"Uzbekistan",2,3,5,51
"Belgium",12,3,"Panama",7,2,6,51
"Poland",1,1,"South Africa",1,2,7,51
"Saudi Arabia",11,1,"Costa Rica",4,2,8,51
"Jordan",6,2,"Poland",11,1,1,52
"Cameroon",10,1,"Brazil",5,2,2,52
"Argentina",9,2,"Saudi Arabia",8,1,3,52
"Colombia",4,2,"Australia",2,2,4,52
"Scotland",5,1,"Iran",10,2,5,52
"Norway",4,3,"Costa Rica",12,2,6,52
"Panama",9,1,"Germany",7,1,7,52
"Egypt",1,2,"Haiti",4,1,8,52
"Denmark",7,1,"Ghana",1,1,1,53
"Croatia",8,3,"Qatar",2,1,2,53
"United States",1,3,"Morocco",8,1,3,53
"Japan",5,2,"New Zealand",10,1,4,53
"Jamaica",4,2,"Costa Rica",5,1,5,53
"Haiti",7,2,"Brazil",4,1,6,53
"Australia",6,2,"Wales",12,2,7,53
"Austria",11,1,"England",9,2,8,53
"Paraguay",4,1,"Germany",6,1,1,54
"Ghana",9,2,"Qatar",2,1,2,54
"Colombia",3,1,"Iran",12,1,3,54
"Senegal",11,3,"Belgium",5,1,4,54
"Norway",3,2,"New Zealand",7,2,5,54
"Austria",10,1,"Mexico",2,3,6,54
"Argentina",9,1,"Haiti",4,2,7,54
"Ecuador",5,2,"Algeria",2,2,8,54
"Nigeria",7,1,"Algeria",9,3,1,55
"Japan",1,3,"South Africa",12,1,2,55
"Tunisia",8,2,"Austria",6,2,3,55
"Jamaica",4,1,"Croatia",9,2,4,55
"Uzbekistan",2,3,"Argentina",10,2,5,55
"Ghana",4,3,"Poland",1,1,6,55
"Australia",5,1,"England",5,2,7,55
"Iran",8,1,"Haiti",5,3,8,55
"Qatar",7,1,"Saudi Arabia",2,3,1,56
"Canada",3,1,"Haiti",6,1,2,56
"Cameroon",11,1,"Korea Republic",11,3,3,56
"Ecuador",12,1,"Iran",1,3,4,56
"Denmark",1,2,"Costa Rica",8,2,5,56
"Argentina",10,2,"Australia",8,3,6,56
"Algeria",4,2,"Netherlands",9,1,7,56
"Austria",4,1,"Jordan",9,2,8,56
"Spain",4,1,"New Zealand",7,1,1,57
"Costa Rica",6,1,"Uruguay",8,2,2,57
"Mexico",2,1,"Jamaica",11,2,3,57
"Cameroon",10,1,"Canada",3,3,4,57
"Colombia",9,2,"Portugal",12,1,5,57
"United States",1,2,"Senegal",7,2,6,57
"Iran",10,2,"Jordan",12,2,7,57
"Ghana",11,1,"France",5,2,8,57
"Saudi Arabia",2,1,"South Africa",4,1,1,58
"Germany",5,1,"Croatia",7,1,2,58
"Chile",2,2,"Cameroon",3,2,3,58
"United States",1,2,"Scotland",10,3,4,58
"Ecuador",8,2,"Panama",9,2,5,58
"Netherlands",3,1,"Canada",3,3,6,58
"Egypt",11,3,"Haiti",10,2,7,58
"New Zealand",11,1,"Jordan",6,1,8,58
"Italy",11,3,"Canada",3,3,1,59
"Spain",12,2,"Australia",5,3,2,59
"Qatar",1,1,"Norway",8,1,3,59
"Jordan",8,3,"Senegal",8,2,4,59
"Panama",6,1,"New Zealand",2,3,5,59
"Tunisia",2,1,"Algeria",6,2,6,59
"Chile",1,2,"England",4,2,7,59
"Colombia",5,1,"Jamaica",12,1,8,59
"Ecuador",5,3,"Algeria",8,3,1,60
"Austria",6,1,"Croatia",5,1,2,60
"Ghana",3,1,"Qatar",11,3,3,60
"Germany",10,1,"Jamaica",5,2,4,60
"Denmark",12,3,"Canada",3,2,5,60
"Colombia",2,3,"United States",1,3,6,60
"Switzerland",8,2,"Costa Rica",4,2,7,60
"Mexico",2,1,"Tunisia",7,1,8,60
"Austria",3,3,"Ghana",12,1,1,61
"Italy",10,3,"Senegal",6,1,2,61
"Cameroon",1,1,"Canada",3,1,3,61
"Paraguay",6,2,"New Zealand",3,2,4,61
"Denmark",2,3,"Costa Rica",5,1,5,61
"Jamaica",12,2,"South Africa",9,3,6,61
"Uzbekistan",11,2,"Panama",7,1,7,61
"Iran",5,2,"Scotland",2,2,8,61
"Qatar",4,1,"Netherlands",8,1,1,62
"Panama",11,1,"Cameroon",9,1,2,62
"Costa Rica",6,3,"Croatia",10,3,3,62
"Chile",7,1,"Haiti",5,1,4,62
"Wales",11,2,"Egypt",7,2,5,62
"Argentina",10,2,"Colombia",5,2,6,62
"Canada",3,1,"Iran",5,3,7,62
"Korea Republic",6,2,"Tunisia",6,1,8,62
"Haiti",6,3,"Jamaica",4,1,1,63
"Saudi Arabia",10,2,"Iran",7,2,2,63
"Scotland",2,1,"Netherlands",1,1,3,63
"Australia",1,2,"Qatar",8,2,4,63
"Austria",5,1,"New Zealand",11,2,5,63
"Ghana",2,3,"Belgium",11,1,6,63
"Brazil",5,2,"United States",1,3,7,63
"Nigeria",10,3,"Algeria",3,3,8,63
"Uruguay",8,3,"Japan",10,1,1,64
"Paraguay",3,1,"Algeria",9,2,2,64
"South Africa",6,2,"Jamaica",6,3,3,64
"Croatia",8,1,"Belgium",11,3,4,64
"Qatar",11,2,"Spain",5,2,5,64
"Chile",6,1,"Cameroon",3,2,6,64
"Australia",8,2,"Saudi Arabia",2,1,7,64
"Morocco",2,2,"Costa Rica",7,1,8,64
"Brazil",6,2,"Ecuador",10,1,1,65
"Canada",3,1,"Colombia",4,1,2,65
"Saudi Arabia",1,3,"Spain",12,1,3,65
"Iran",11,2,"Jordan",9,1,4,65
"Haiti",8,3,"Paraguay",2,1,5,65
"Australia",8,1,"New Zealand",11,1,6,65
"Chile",1,1,"Uruguay",5,2,7,65
"Tunisia",12,2,"Egypt",9,3,8,65
"Ghana",12,3,"Cameroon",3,1,1,66
"Wales",3,3,"Ecuador",10,1,2,66
"United States",1,3,"Belgium",12,2,3,66
"Tunisia",5,2,"Colombia",11,2,4,66
"Chile",9,2,"Egypt",6,2,5,66
"Panama",11,3,"Portugal",9,3,6,66
"Croatia",7,2,"Senegal",10,2,7,66
"Nigeria",1,2,"Switzerland",4,1,8,66
"Austria",1,3,"Algeria",8,3,1,67
"England",10,3,"Chile",12,2,2,67
"Cameroon",10,2,"Morocco",4,1,3,67
"Panama",12,1,"Colombia",2,2,4,67
"Denmark",10,1,"Haiti",6,2,5,67
"Brazil",8,2,"Japan",11,1,6,67
"Jamaica",5,2,"South Africa",3,3,7,67
"Canada",3,2,"Korea Republic",3,1,8,67
"Haiti",6,1,"Brazil",4,3,1,68
"Morocco",10,2,"New Zealand",2,1,2,68
"Wales",1,3,"Panama",7,1,3,68
"Italy",9,1,"Canada",3,3,4,68
"Uzbekistan",10,3,"Jordan",3,1,5,68
"Saudi Arabia",5,2,"Poland",12,2,6,68
"Egypt",5,1,"Iran",2,2,7,68
"United States",1,2,"Costa Rica",8,1,8,68
"Canada",3,3,"Denmark",9,3,1,69
"South Africa",3,1,"Paraguay",7,1,2,69
"Egypt",12,3,"Jordan",12,1,3,69
"Nigeria",11,3,"Australia",5,1,4,69
"Korea Republic",10,2,"Belgium",11,1,5,69
"Jamaica",4,2,"Japan",9,1,6,69
"Netherlands",7,3,"United States",1,1,7,69
"Scotland",8,1,"Costa Rica",8,2,8,69
"Cameroon",3,1,"Haiti",12,1,1,70
"Uruguay",11,3,"Jamaica",4,1,2,70
"Colombia",10,3,"Algeria",11,1,3,70
"Argentina",8,2,"Egypt",6,3,4,70
"Chile",6,2,"Scotland",5,3,5,70
"Uzbekistan",4,2,"Saudi Arabia",7,2,6,70
"Austria",9,1,"South Africa",9,3,7,70
"Croatia",5,1,"Tunisia",2,1,8,70
"Egypt",11,3,"United States",1,1,1,71
"New Zealand",9,2,"Costa Rica",4,1,2,71
"Cameroon",7,2,"Austria",10,2,3,71
"Jamaica",7,3,"Senegal",9,1,4,71
"Poland",5,3,"Algeria",5,2,5,71
"Switzerland",11,2,"Australia",6,1,6,71
"Ghana",1,2,"Panama",5,1,7,71
"Saudi Arabia",3,3,"Ecuador",11,1,8,71
"Australia",11,3,"Morocco",10,3,1,72
"Saudi Arabia",10,1,"Panama",12,2,2,72
"Nigeria",6,1,"France",8,3,3,72
"Jordan",5,2,"Egypt",7,2,4,72
