"country","score","continent","confederation","pot","group","simulation"
"Spain",1645,"Europe","UEFA",1,8,8
"Argentina",1642,"South America","CONMEBOL",1,6,8
"Uruguay",1639,"South America","CONMEBOL",1,9,8
"Italy",1625,"Europe","UEFA",1,11,8
"Croatia",1617,"Europe","UEFA",2,1,8
"Denmark",1614,"Europe","UEFA",2,4,8
"Germany",1610,"Europe","UEFA",2,10,8
"Netherlands",1609,"Europe","UEFA",2,3,8
"Colombia",1601,"South America","CONMEBOL",2,5,8
"Switzerland",1593,"Europe","UEFA",2,2,8
"Chile",1567,"South America","CONMEBOL",2,8,8
"Wales",1562,"Europe","UEFA",2,6,8
"Poland",1559,"Europe","UEFA",2,12,8
"Senegal",1558,"Africa","CAF",2,7,8
"Austria",1531,"Europe","UEFA",2,11,8
"Tunisia",1503,"Africa","CAF",2,9,8
"Japan",1502,"Asia","AFC",3,2,8
"Iran",1496,"Asia","AFC",3,11,8
"Algeria",1488,"Africa","CAF",3,10,8
"Morocco",1481,"Africa","CAF",3,8,8
"Paraguay",1476,"South America","CONMEBOL",3,10,8
"Nigeria",1474,"Africa","CAF",3,5,8
"Korea Republic",1465,"Asia","AFC",3,4,8
"Australia",1457,"Asia","AFC",3,6,8
"Norway",1450,"Europe","UEFA",3,9,8
"Jamaica",1437,"North America","CONCACAF",3,7,8
"Scotland",1436,"Europe","UEFA",3,1,8
"Egypt",1432,"Africa","CAF",3,3,8
"Cameroon",1427,"Africa","CAF",4,12,8
"Costa Rica",1427,"North America","CONCACAF",4,4,8
"Ghana",1424,"Africa","CAF",4,2,8
"Ecuador",1409,"South America","CONMEBOL",4,12,8
"Qatar",1391,"Asia","AFC",4,7,8
"Saudi Arabia",1353,"Asia","AFC",4,5,8
"South Africa",1341,"Africa","CAF",4,11,8
"Panama",1312,"North America","CONCACAF",4,6,8
"Haiti",1285,"North America","CONCACAF",4,8,8
"Uzbekistan",1283,"Asia","AFC",4,1,8
"Jordan",1243,"Asia","AFC",4,3,8
"New Zealand",1149,"Oceania","OFC",4,9,8
"Mexico",1632,"North America","CONCACAF",1,2,9
"United States",1548,"North America","CONCACAF",1,1,9
"Canada",1332,"North America","CONCACAF",1,3,9
"Belgium",1780,"Europe","UEFA",1,7,9
"France",1755,"Europe","UEFA",1,4,9
"Brazil",1743,"South America","CONMEBOL",1,10,9
"England",1670,"Europe","UEFA",1,9,9
"Portugal",1662,"Europe","UEFA",1,8,9
"Spain",1645,"Europe","UEFA",1,12,9
"Argentina",1642,"South America","CONMEBOL",1,6,9
"Uruguay",1639,"South America","CONMEBOL",1,5,9
"Italy",1625,"Europe","UEFA",1,11,9
"Croatia",1617,"Europe","UEFA",2,10,9
"Denmark",1614,"Europe","UEFA",2,11,9
"Germany",1610,"Europe","UEFA",2,5,9
"Netherlands",1609,"Europe","UEFA",2,12,9
"Colombia",1601,"South America","CONMEBOL",2,7,9
"Switzerland",1593,"Europe","UEFA",2,4,9
"Chile",1567,"South America","CONMEBOL",2,8,9
"Wales",1562,"Europe","UEFA",2,9,9
"Poland",1559,"Europe","UEFA",2,3,9
"Senegal",1558,"Africa","CAF",2,1,9
"Austria",1531,"Europe","UEFA",2,6,9
"Tunisia",1503,"Africa","CAF",2,2,9
"Japan",1502,"Asia","AFC",3,10,9
"Iran",1496,"Asia","AFC",3,8,9
"Algeria",1488,"Africa","CAF",3,3,9
"Morocco",1481,"Africa","CAF",3,12,9
"Paraguay",1476,"South America","CONMEBOL",3,9,9
"Nigeria",1474,"Africa","CAF",3,4,9
"Korea Republic",1465,"Asia","AFC",3,6,9
"Australia",1457,"Asia","AFC",3,1,9
"Norway",1450,"Europe","UEFA",3,2,9
"Jamaica",1437,"North America","CONCACAF",3,11,9
"Scotland",1436,"Europe","UEFA",3,7,9
"Egypt",1432,"Africa","CAF",3,5,9
"Cameroon",1427,"Africa","CAF",4,8,9
"Costa Rica",1427,"North America","CONCACAF",4,12,9
"Ghana",1424,"Africa","CAF",4,6,9
"Ecuador",1409,"South America","CONMEBOL",4,4,9
"Qatar",1391,"Asia","AFC",4,11,9
"Saudi Arabia",1353,"Asia","AFC",4,3,9
"South Africa",1341,"Africa","CAF",4,7,9
"Panama",1312,"North America","CONCACAF",4,10,9
"Haiti",1285,"North America","CONCACAF",4,5,9
"Uzbekistan",1283,"Asia","AFC",4,2,9
"Jordan",1243,"Asia","AFC",4,9,9
"New Zealand",1149,"Oceania","OFC",4,1,9
"Mexico",1632,"North America","CONCACAF",1,2,10
"United States",1548,"North America","CONCACAF",1,1,10
"Canada",1332,"North America","CONCACAF",1,3,10
"Belgium",1780,"Europe","UEFA",1,7,10
"France",1755,"Europe","UEFA",1,12,10
"Brazil",1743,"South America","CONMEBOL",1,4,10
"England",1670,"Europe","UEFA",1,9,10
"Portugal",1662,"Europe","UEFA",1,10,10
"Spain",1645,"Europe","UEFA",1,8,10
"Argentina",1642,"South America","CONMEBOL",1,6,10
"Uruguay",1639,"South America","CONMEBOL",1,11,10
"Italy",1625,"Europe","UEFA",1,5,10
"Croatia",1617,"Europe","UEFA",2,2,10
"Denmark",1614,"Europe","UEFA",2,10,10
"Germany",1610,"Europe","UEFA",2,11,10
"Netherlands",1609,"Europe","UEFA",2,6,10
"Colombia",1601,"South America","CONMEBOL",2,7,10
"Switzerland",1593,"Europe","UEFA",2,12,10
"Chile",1567,"South America","CONMEBOL",2,8,10
"Wales",1562,"Europe","UEFA",2,1,10
"Poland",1559,"Europe","UEFA",2,9,10
"Senegal",1558,"Africa","CAF",2,5,10
"Austria",1531,"Europe","UEFA",2,3,10
"Tunisia",1503,"Africa","CAF",2,4,10
"Japan",1502,"Asia","AFC",3,3,10
"Iran",1496,"Asia","AFC",3,8,10
"Algeria",1488,"Africa","CAF",3,10,10
"Morocco",1481,"Africa","CAF",3,7,10
"Paraguay",1476,"South America","CONMEBOL",3,9,10
"Nigeria",1474,"Africa","CAF",3,12,10
"Korea Republic",1465,"Asia","AFC",3,2,10
"Australia",1457,"Asia","AFC",3,5,10
"Norway",1450,"Europe","UEFA",3,11,10
"Jamaica",1437,"North America","CONCACAF",3,4,10
"Scotland",1436,"Europe","UEFA",3,1,10
"Egypt",1432,"Africa","CAF",3,6,10
"Cameroon",1427,"Africa","CAF",4,9,10
"Costa Rica",1427,"North America","CONCACAF",4,6,10
"Ghana",1424,"Africa","CAF",4,3,10
"Ecuador",1409,"South America","CONMEBOL",4,10,10
"Qatar",1391,"Asia","AFC",4,12,10
"Saudi Arabia",1353,"Asia","AFC",4,11,10
"South Africa",1341,"Africa","CAF",4,8,10
"Panama",1312,"North America","CONCACAF",4,7,10
"Haiti",1285,"North America","CONCACAF",4,5,10
"Uzbekistan",1283,"Asia","AFC",4,4,10
"Jordan",1243,"Asia","AFC",4,1,10
"New Zealand",1149,"Oceania","OFC",4,2,10
"Mexico",1632,"North America","CONCACAF",1,2,11
"United States",1548,"North America","CONCACAF",1,1,11
"Canada",1332,"North America","CONCACAF",1,3,11
"Belgium",1780,"Europe","UEFA",1,12,11
"France",1755,"Europe","UEFA",1,5,11
"Brazil",1743,"South America","CONMEBOL",1,10,11
"England",1670,"Europe","UEFA",1,11,11
"Portugal",1662,"Europe","UEFA",1,9,11
"Spain",1645,"Europe","UEFA",1,8,11
"Argentina",1642,"South America","CONMEBOL",1,4,11
"Uruguay",1639,"South America","CONMEBOL",1,7,11
"Italy",1625,"Europe","UEFA",1,6,11
"Croatia",1617,"Europe","UEFA",2,1,11
"Denmark",1614,"Europe","UEFA",2,4,11
"Germany",1610,"Europe","UEFA",2,7,11
"Netherlands",1609,"Europe","UEFA",2,9,11
"Colombia",1601,"South America","CONMEBOL",2,6,11
"Switzerland",1593,"Europe","UEFA",2,8,11
"Chile",1567,"South America","CONMEBOL",2,12,11
"Wales",1562,"Europe","UEFA",2,2,11
"Poland",1559,"Europe","UEFA",2,11,11
"Senegal",1558,"Africa","CAF",2,3,11
"Austria",1531,"Europe","UEFA",2,10,11
"Tunisia",1503,"Africa","CAF",2,5,11
"Japan",1502,"Asia","AFC",3,2,11
"Iran",1496,"Asia","AFC",3,12,11
"Algeria",1488,"Africa","CAF",3,6,11
"Morocco",1481,"Africa","CAF",3,7,11
"Paraguay",1476,"South America","CONMEBOL",3,8,11
"Nigeria",1474,"Africa","CAF",3,11,11
"Korea Republic",1465,"Asia","AFC",3,4,11
"Australia",1457,"Asia","AFC",3,10,11
"Norway",1450,"Europe","UEFA",3,3,11
"Jamaica",1437,"North America","CONCACAF",3,5,11
"Scotland",1436,"Europe","UEFA",3,1,11
"Egypt",1432,"Africa","CAF",3,9,11
"Cameroon",1427,"Africa","CAF",4,2,11
"Costa Rica",1427,"North America","CONCACAF",4,6,11
"Ghana",1424,"Africa","CAF",4,8,11
"Ecuador",1409,"South America","CONMEBOL",4,5,11
"Qatar",1391,"Asia","AFC",4,11,11
"Saudi Arabia",1353,"Asia","AFC",4,3,11
"South Africa",1341,"Africa","CAF",4,10,11
"Panama",1312,"North America","CONCACAF",4,12,11
"Haiti",1285,"North America","CONCACAF",4,4,11
"Uzbekistan",1283,"Asia","AFC",4,9,11
"Jordan",1243,"Asia","AFC",4,7,11
"New Zealand",1149,"Oceania","OFC",4,1,11
"Mexico",1632,"North America","CONCACAF",1,2,12
"United States",1548,"North America","CONCACAF",1,1,12
"Canada",1332,"North America","CONCACAF",1,3,12
"Belgium",1780,"Europe","UEFA",1,10,12
"France",1755,"Europe","UEFA",1,11,12
"Brazil",1743,"South America","CONMEBOL",1,7,12
"England",1670,"Europe","UEFA",1,12,12
"Portugal",1662,"Europe","UEFA",1,5,12
"Spain",1645,"Europe","UEFA",1,4,12
"Argentina",1642,"South America","CONMEBOL",1,9,12
"Uruguay",1639,"South America","CONMEBOL",1,8,12
"Italy",1625,"Europe","UEFA",1,6,12
"Croatia",1617,"Europe","UEFA",2,7,12
"Denmark",1614,"Europe","UEFA",2,5,12
"Germany",1610,"Europe","UEFA",2,2,12
"Netherlands",1609,"Europe","UEFA",2,9,12
"Colombia",1601,"South America","CONMEBOL",2,12,12
"Switzerland",1593,"Europe","UEFA",2,10,12
"Chile",1567,"South America","CONMEBOL",2,11,12
"Wales",1562,"Europe","UEFA",2,6,12
"Poland",1559,"Europe","UEFA",2,1,12
"Senegal",1558,"Africa","CAF",2,8,12
"Austria",1531,"Europe","UEFA",2,3,12
"Tunisia",1503,"Africa","CAF",2,4,12
"Japan",1502,"Asia","AFC",3,12,12
"Iran",1496,"Asia","AFC",3,5,12
