"team","group_team","rank_team","opp_team","group_opp_team","rank_opp","match_num","simulation"
"Poland",7,1,"Egypt",1,3,12,74
"Japan",7,2,"Senegal",6,2,13,74
"United States",1,2,"Colombia",1,1,14,74
"Mexico",2,2,"Switzerland",12,2,15,74
"Argentina",8,2,"Belgium",9,2,16,74
"England",5,1,"Poland",3,3,1,75
"Italy",4,1,"Panama",5,3,2,75
"Belgium",8,1,"Egypt",6,3,3,75
"Spain",11,1,"Morocco",4,3,4,75
"Wales",6,1,"Korea Republic",8,3,5,75
"Chile",7,2,"Brazil",6,2,6,75
"Croatia",10,2,"Uzbekistan",3,2,7,75
"France",7,1,"Norway",5,2,8,75
"Uruguay",12,1,"Mexico",2,2,9,75
"Switzerland",12,2,"Tunisia",2,3,10,75
"Argentina",10,1,"United States",1,3,11,75
"Japan",2,1,"Germany",1,1,12,75
"Denmark",4,2,"Algeria",3,1,13,75
"Australia",9,3,"Cameroon",1,2,14,75
"Austria",8,2,"Netherlands",11,2,15,75
"Portugal",9,1,"Colombia",9,2,16,75
"Wales",2,1,"Scotland",9,3,1,76
"France",5,1,"Costa Rica",7,3,2,76
"Switzerland",9,1,"Paraguay",5,3,3,76
"Netherlands",10,1,"Canada",3,3,4,76
"Italy",8,1,"Norway",2,3,5,76
"Belgium",12,1,"Iran",4,3,6,76
"Spain",4,1,"Uruguay",6,2,7,76
"Croatia",1,1,"United States",1,3,8,76
"Poland",6,1,"Saudi Arabia",11,3,9,76
"Colombia",7,2,"Chile",8,2,10,76
"Portugal",7,1,"Korea Republic",3,1,11,76
"Ecuador",4,2,"Japan",1,2,12,76
"Mexico",2,2,"Senegal",3,2,13,76
"Morocco",11,2,"Germany",12,2,14,76
"Denmark",5,2,"England",11,1,15,76
"Argentina",9,2,"Brazil",10,2,16,76
"France",12,1,"Argentina",4,2,1,77
"Spain",5,1,"Morocco",10,3,2,77
"Germany",4,1,"Saudi Arabia",3,3,3,77
"Australia",2,1,"Colombia",2,3,4,77
"Tunisia",3,1,"Egypt",12,2,5,77
"Brazil",11,1,"Panama",5,3,6,77
"Netherlands",1,1,"Mexico",2,2,7,77
"Belgium",9,1,"Korea Republic",7,3,8,77
"Iran",8,1,"Norway",9,2,9,77
"Paraguay",3,2,"Poland",8,3,10,77
"Austria",5,2,"Poland",8,2,11,77
"Portugal",6,2,"Costa Rica",6,3,12,77
"Algeria",6,1,"Ecuador",1,2,13,77
"Scotland",11,2,"Wales",10,2,14,77
"Italy",7,1,"United States",1,3,15,77
"Denmark",7,2,"England",10,1,16,77
"Portugal",9,1,"Netherlands",8,3,1,78
"Wales",2,1,"Jamaica",9,3,2,78
"France",12,1,"Qatar",2,3,3,78
"Spain",8,1,"Jordan",7,3,4,78
"Brazil",5,1,"Senegal",9,2,5,78
"Italy",7,1,"Mexico",2,2,6,78
"Argentina",11,1,"Croatia",10,2,7,78
"England",4,1,"Morocco",11,3,8,78
"Nigeria",6,1,"Germany",6,3,9,78
"Cameroon",1,1,"Uruguay",6,2,10,78
"Colombia",7,2,"Algeria",10,3,11,78
"Denmark",12,2,"Tunisia",4,3,12,78
"Poland",1,2,"Austria",11,2,13,78
"Chile",3,2,"Japan",3,1,14,78
"Scotland",4,2,"Belgium",10,1,15,78
"Korea Republic",5,2,"Ecuador",8,2,16,78
"Norway",5,1,"Denmark",5,3,1,79
"Croatia",4,1,"Jamaica",9,3,2,79
"Belgium",11,1,"Nigeria",12,3,3,79
"Spain",8,1,"England",4,3,4,79
"Brazil",7,1,"Germany",11,2,5,79
"France",12,1,"Austria",3,2,6,79
"Ecuador",3,1,"Iran",11,3,7,79
"Qatar",10,1,"Scotland",2,3,8,79
"Uruguay",9,1,"Senegal",1,2,9,79
"Wales",6,1,"Tunisia",7,2,10,79
"Morocco",4,2,"United States",1,3,11,79
"Cameroon",6,2,"Korea Republic",3,3,12,79
"Italy",5,2,"Poland",9,2,13,79
"Colombia",8,2,"Chile",2,1,14,79
"Netherlands",12,2,"Mexico",2,2,15,79
"Portugal",10,2,"Jordan",1,1,16,79
"Australia",9,1,"Wales",8,3,1,80
"Brazil",5,1,"Italy",9,2,2,80
"Chile",7,1,"Colombia",9,3,3,80
"Jamaica",8,1,"Portugal",7,2,4,80
"Mexico",2,1,"Belgium",4,2,5,80
"Germany",3,1,"Saudi Arabia",12,3,6,80
"Uruguay",6,1,"Argentina",8,2,7,80
"Iran",11,1,"Tunisia",11,3,8,80
"Austria",12,2,"England",11,2,9,80
"Switzerland",1,2,"Paraguay",10,3,10,80
"Egypt",3,2,"Haiti",5,3,11,80
"Norway",1,1,"Algeria",5,2,12,80
"Croatia",4,1,"Costa Rica",4,3,13,80
"Korea Republic",2,2,"United States",1,3,14,80
"France",12,1,"Spain",10,2,15,80
"Denmark",6,2,"Netherlands",10,1,16,80
"Spain",6,1,"Norway",6,2,1,81
"Colombia",10,1,"Denmark",5,3,2,81
"Brazil",11,1,"Uzbekistan",1,3,3,81
"Belgium",9,1,"Haiti",10,2,4,81
"Wales",1,1,"Costa Rica",6,3,5,81
"Italy",12,1,"Poland",4,3,6,81
"Senegal",2,1,"New Zealand",2,3,7,81
"France",5,1,"Canada",3,2,8,81
"Portugal",7,1,"Scotland",9,2,9,81
"Paraguay",1,2,"Chile",3,3,10,81
"Argentina",4,1,"Mexico",2,2,11,81
"Korea Republic",4,2,"Austria",9,3,12,81
"Nigeria",3,1,"Switzerland",11,2,13,81
"Uruguay",8,2,"Algeria",8,3,14,81
"Germany",12,2,"Saudi Arabia",5,2,15,81
"Netherlands",8,1,"Croatia",7,2,16,81
"Croatia",10,1,"Colombia",9,3,1,82
"Italy",12,1,"Iran",7,3,2,82
"Denmark",3,1,"Chile",4,1,3,82
"Brazil",8,1,"Netherlands",11,3,4,82
"Paraguay",5,1,"Canada",3,2,5,82
"Norway",2,1,"Wales",1,2,6,82
"Argentina",7,2,"Ghana",10,2,7,82
"Uruguay",6,1,"Switzerland",5,3,8,82
"England",9,1,"France",4,3,9,82
"Belgium",11,1,"Japan",4,2,10,82
"Germany",7,1,"Senegal",2,3,11,82
"Egypt",6,2,"Mexico",2,2,12,82
"Tunisia",8,2,"Uzbekistan",1,3,13,82
"Portugal",5,2,"Haiti",9,2,14,82
"Austria",12,2,"Algeria",3,3,15,82
"United States",1,1,"Ecuador",11,2,16,82
"Spain",9,1,"Nigeria",11,3,1,83
"Colombia",1,1,"Wales",11,2,2,83
"Paraguay",2,1,"Saudi Arabia",1,2,3,83
"Germany",6,1,"Jamaica",9,3,4,83
"Portugal",12,1,"United States",1,3,5,83
"Argentina",5,1,"Egypt",7,3,6,83
"Croatia",7,2,"Ecuador",12,2,7,83
"France",8,2,"Mexico",2,2,8,83
"Belgium",10,2,"Canada",3,3,9,83
"Denmark",10,1,"Qatar",2,3,10,83
"Switzerland",4,1,"Iran",12,3,11,83
"Chile",8,1,"Australia",4,3,12,83
"Brazil",7,1,"England",11,1,13,83
"Senegal",3,2,"Netherlands",5,2,14,83
"Uruguay",6,2,"Italy",4,2,15,83
"Austria",9,2,"Japan",3,1,16,83
"France",11,1,"Chile",11,2,1,84
"Netherlands",3,1,"Austria",2,3,2,84
"Spain",6,1,"Egypt",1,3,3,84
"Italy",7,1,"Haiti",6,3,4,84
"Brazil",10,1,"South Africa",9,3,5,84
"Croatia",1,1,"Korea Republic",12,3,6,84
"Mexico",2,1,"Ecuador",5,3,7,84
"Argentina",4,1,"Jamaica",9,2,8,84
"Belgium",9,1,"Uzbekistan",2,2,9,84
"Japan",6,2,"Jordan",8,3,10,84
"Nigeria",10,2,"Algeria",4,3,11,84
"New Zealand",12,2,"Morocco",8,1,12,84
"Iran",7,2,"Uruguay",8,2,13,84
"Canada",3,2,"Panama",4,2,14,84
"Norway",5,2,"Portugal",12,1,15,84
"England",5,1,"United States",1,2,16,84
"Canada",3,1,"France",5,3,1,85
"Switzerland",4,1,"Wales",3,3,2,85
"Germany",5,1,"Chile",2,3,3,85
"Denmark",12,1,"Australia",12,3,4,85
"Colombia",1,1,"Costa Rica",6,3,5,85
"Spain",6,1,"Nigeria",5,2,6,85
"Netherlands",9,1,"Tunisia",8,3,7,85
"Belgium",11,1,"Portugal",4,2,8,85
"Mexico",2,2,"Ecuador",3,2,9,85
"Brazil",8,1,"Croatia",10,2,10,85
"Korea Republic",2,1,"Senegal",11,2,11,85
"Scotland",1,2,"Paraguay",11,3,12,85
"Iran",8,2,"Norway",10,3,13,85
"Italy",9,2,"Austria",7,1,14,85
"Egypt",6,2,"England",7,2,15,85
"Argentina",10,1,"Uruguay",12,2,16,85
"Chile",3,1,"Netherlands",10,3,1,86
"Spain",9,1,"Belgium",6,3,2,86
"Mexico",2,1,"Cameroon",12,3,3,86
"Italy",10,1,"Paraguay",9,3,4,86
"England",5,1,"Jordan",7,3,5,86
"Tunisia",1,1,"Iran",3,2,6,86
"Uruguay",4,1,"Scotland",1,3,7,86
"Japan",6,2,"France",8,3,8,86
"Argentina",7,1,"Colombia",5,2,9,86
"Croatia",12,2,"Poland",4,3,10,86
"Germany",6,1,"Qatar",2,2,11,86
"Brazil",12,1,"Haiti",4,2,12,86
"Portugal",11,1,"Denmark",8,1,13,86
"Nigeria",8,2,"Austria",9,2,14,86
"Ecuador",11,2,"United States",1,2,15,86
"Wales",7,2,"Australia",10,2,16,86
"Denmark",3,1,"United States",1,3,1,87
"Senegal",2,1,"Croatia",7,3,2,87
"Argentina",4,1,"Cameroon",6,3,3,87
"Belgium",6,1,"Canada",3,3,4,87
"Brazil",8,1,"Japan",2,3,5,87
"Australia",9,1,"Spain",9,2,6,87
"Switzerland",10,1,"Austria",12,2,7,87
"England",5,1,"Chile",9,3,8,87
"Germany",11,1,"Colombia",5,3,9,87
"Italy",12,1,"Morocco",12,3,10,87
"Haiti",7,2,"Korea Republic",5,2,11,87
"Netherlands",6,2,"France",10,2,12,87
"Nigeria",3,2,"Iran",1,2,13,87
"Poland",4,2,"Ecuador",1,1,14,87
"Uruguay",7,1,"Mexico",2,2,15,87
"Qatar",8,2,"Portugal",11,2,16,87
"Switzerland",1,1,"Chile",9,3,1,88
"Uruguay",4,1,"Austria",11,3,2,88
"Denmark",12,1,"Canada",3,3,3,88
"Argentina",7,1,"Netherlands",10,3,4,88
"Portugal",5,1,"Poland",7,3,5,88
"Italy",11,1,"Japan",4,2,6,88
"Senegal",3,1,"Spain",12,2,7,88
"Germany",6,1,"Egypt",9,2,8,88
"Belgium",9,1,"Korea Republic",7,2,9,88
"England",10,1,"Morocco",2,3,10,88
"Colombia",2,2,"Jamaica",8,3,11,88
"United States",1,2,"Panama",6,3,12,88
"Paraguay",5,2,"Qatar",11,2,13,88
"Mexico",2,1,"Australia",10,2,14,88
"Croatia",8,2,"Ecuador",3,2,15,88
"France",6,2,"Brazil",8,1,16,88
"Japan",3,1,"Jamaica",5,3,1,89
"Poland",10,1,"Wales",4,3,2,89
"Uruguay",4,1,"Korea Republic",10,3,3,89
"Argentina",11,1,"Belgium",10,2,4,89
"Germany",5,1,"Morocco",12,3,5,89
"Portugal",6,1,"Australia",9,3,6,89
"Spain",9,1,"Italy",5,2,7,89
"Chile",12,1,"Croatia",2,3,8,89
"United States",1,3,"Qatar",2,2,9,89
"Austria",7,3,"Colombia",6,2,10,89
"Egypt",4,2,"Denmark",8,1,11,89
"Iran",7,2,"France",8,2,12,89
"Switzerland",11,2,"Algeria",2,1,13,89
"England",12,2,"Ecuador",9,2,14,89
"Netherlands",1,1,"Brazil",7,1,15,89
"Norway",1,2,"Senegal",3,2,16,89
"Morocco",10,1,"Norway",8,3,1,90
"Colombia",12,1,"Netherlands",6,3,2,90
"Chile",11,1,"Ecuador",1,3,3,90
"Poland",2,1,"Senegal",9,3,4,90
"Australia",5,1,"Japan",2,3,5,90
"Nigeria",1,1,"England",5,2,6,90
"Iran",6,2,"Wales",4,3,7,90
"Belgium",8,1,"Cameroon",3,3,8,90
"Argentina",4,1,"Cameroon",3,2,9,90
"Spain",6,1,"Switzerland",3,1,10,90
"Portugal",7,1,"Austria",8,2,11,90
"Brazil",9,1,"Costa Rica",5,3,12,90
"Croatia",7,2,"United States",1,2,13,90
"Italy",11,2,"Scotland",4,2,14,90
"Mexico",2,2,"Korea Republic",9,2,15,90
"France",12,2,"Denmark",10,2,16,90
"France",9,1,"Argentina",5,3,1,91
"Uruguay",12,1,"Haiti",7,3,2,91
"Belgium",6,1,"Morocco",2,3,3,91
"Italy",10,1,"Jamaica",9,3,4,91
"Spain",8,1,"New Zealand",4,3,5,91
"England",4,1,"Nigeria",7,2,6,91
"Portugal",7,1,"Austria",3,3,7,91
"Denmark",1,1,"Iran",3,2,8,91
"Colombia",2,1,"Senegal",6,3,9,91
"Croatia",5,1,"Norway",6,2,10,91
"Mexico",2,2,"Cameroon",5,2,11,91
"Switzerland",8,2,"Korea Republic",11,3,12,91
"Poland",9,2,"Scotland",4,2,13,91
"Germany",12,2,"United States",1,2,14,91
"Netherlands",10,2,"Tunisia",11,2,15,91
"Brazil",11,1,"Ecuador",3,1,16,91
"England",4,1,"Paraguay",12,3,1,92
"Belgium",8,1,"Switzerland",4,3,2,92
"Argentina",5,1,"Iran",2,3,3,92
"Brazil",10,1,"Croatia",8,3,4,92
"Wales",12,2,"Korea Republic",9,2,5,92
"Norway",3,1,"Portugal",9,3,6,92
"Spain",6,1,"Jordan",1,3,7,92
"Italy",12,1,"Ecuador",8,2,8,92
"Denmark",7,1,"Morocco",6,3,9,92
"Germany",9,1,"Uzbekistan",3,3,10,92
"France",11,1,"Jamaica",5,2,11,92
"Austria",2,2,"Australia",11,2,12,92
"Tunisia",1,1,"Chile",6,2,13,92
"Panama",4,2,"Poland",3,2,14,92
"Uruguay",7,2,"Scotland",1,2,15,92
"Mexico",2,1,"Netherlands",10,2,16,92
"Poland",2,1,"Jamaica",8,2,1,93
"Belgium",11,1,"South Africa",7,3,2,93
"Portugal",4,1,"Ecuador",3,3,3,93
"Italy",5,1,"Korea Republic",3,2,4,93
"Uruguay",8,1,"Scotland",2,3,5,93
"Brazil",9,1,"Croatia",11,3,6,93
"Switzerland",12,1,"Morocco",11,2,7,93
"England",10,1,"Japan",1,3,8,93
"United States",1,1,"Cameroon",12,3,9,93
"Denmark",7,1,"France",6,2,10,93
"Wales",9,2,"Costa Rica",10,3,11,93
"Spain",12,2,"Argentina",7,2,12,93
"Mexico",2,2,"Ghana",1,2,13,93
"Austria",5,2,"Uzbekistan",6,3,14,93
"Netherlands",4,2,"Germany",3,1,15,93
"Chile",6,1,"Senegal",10,2,16,93
"Norway",6,1,"Senegal",6,3,1,94
"Australia",11,1,"Cameroon",7,3,2,94
"Mexico",2,1,"Canada",3,3,3,94
"Wales",4,1,"United States",1,2,4,94
"Netherlands",1,1,"Italy",12,2,5,94
"Belgium",7,1,"Germany",11,3,6,94
"Argentina",5,1,"Spain",11,2,7,94
"France",8,1,"Croatia",9,3,8,94
"Tunisia",3,1,"Morocco",1,3,9,94
"Brazil",10,1,"Denmark",10,3,10,94
"Switzerland",5,2,"Qatar",12,3,11,94
"Uruguay",4,2,"Chile",7,2,12,94
"Portugal",6,2,"England",9,1,13,94
"Algeria",2,2,"Iran",8,2,14,94
"Paraguay",3,2,"Colombia",12,1,15,94
"Japan",9,2,"Egypt",10,2,16,94
"Portugal",5,1,"Germany",10,3,1,95
"Denmark",12,1,"Netherlands",7,3,2,95
"Spain",9,1,"Paraguay",7,2,3,95
"France",11,1,"Qatar",2,2,4,95
"Argentina",6,1,"Tunisia",11,2,5,95
"England",7,1,"Cameroon",10,2,6,95
"Uruguay",4,1,"Algeria",8,3,7,95
"Belgium",8,1,"Japan",6,3,8,95
"Brazil",10,1,"Iran",5,2,9,95
"Ecuador",9,2,"Poland",4,2,10,95
"Senegal",1,2,"Canada",3,2,11,95
"Austria",2,1,"Mexico",2,3,12,95
"Croatia",8,2,"Saudi Arabia",12,2,13,95
"United States",1,1,"Norway",11,3,14,95
"Uzbekistan",3,1,"Nigeria",3,3,15,95
"Wales",6,2,"Australia",1,3,16,95
"United States",1,1,"Colombia",1,3,1,96
"Portugal",11,1,"Jamaica",9,3,2,96
"Italy",12,1,"Nigeria",6,3,3,96
"Netherlands",2,1,"Scotland",4,3,4,96
"England",6,1,"Senegal",9,2,5,96
"Brazil",5,1,"Ecuador",11,2,6,96
"Argentina",8,1,"Denmark",8,2,7,96
"Uruguay",9,1,"Iran",3,2,8,96
"Costa Rica",7,3,"Norway",12,2,9,96
"Croatia",4,2,"Poland",11,3,10,96
"Wales",10,3,"Canada",3,3,11,96
"Switzerland",6,2,"Germany",5,2,12,96
"South Africa",3,1,"Spain",4,1,13,96
"Chile",7,2,"Belgium",7,1,14,96
"France",10,2,"Mexico",2,2,15,96
"Korea Republic",1,2,"Paraguay",10,1,16,96
"Mexico",2,1,"Korea Republic",1,3,1,97
"Poland",3,1,"Senegal",10,3,2,97
"Netherlands",8,1,"Uzbekistan",3,3,3,97
"Wales",11,1,"Croatia",7,2,4,97
"Germany",4,1,"Costa Rica",5,3,5,97
"Argentina",12,1,"Japan",7,3,6,97
"France",6,1,"Morocco",12,3,7,97
"Portugal",7,1,"Nigeria",11,3,8,97
"England",10,1,"Spain",11,2,9,97
"Brazil",5,1,"Austria",12,2,10,97
"Belgium",9,2,"Switzerland",9,3,11,97
"Paraguay",3,2,"Italy",4,2,12,97
"Ecuador",9,1,"Colombia",6,2,13,97
"Ghana",1,1,"Chile",1,2,14,97
"Uruguay",8,2,"Australia",5,2,15,97
"Iran",10,2,"Denmark",2,2,16,97
"Mexico",2,1,"Japan",4,3,1,98
"Italy",8,1,"Saudi Arabia",6,3,2,98
"Spain",6,1,"Iran",2,3,3,98
"Portugal",7,1,"Wales",7,2,4,98
"Belgium",12,1,"Austria",8,2,5,98
"France",10,1,"Cameroon",4,2,6,98
"Croatia",1,1,"Paraguay",3,3,7,98
"Poland",4,1,"Canada",3,2,8,98
"Denmark",9,1,"United States",1,3,9,98
"Uruguay",9,2,"Korea Republic",11,3,10,98
"Switzerland",5,1,"Scotland",8,3,11,98
"Brazil",11,1,"Morocco",10,2,12,98
"Norway",1,2,"Panama",7,3,13,98
"Colombia",12,2,"Argentina",5,2,14,98
"Netherlands",6,2,"Tunisia",3,1,15,98
"Germany",11,2,"Ecuador",2,2,16,98
"Switzerland",11,1,"Argentina",11,3,1,99
"Portugal",12,1,"Iran",4,3,2,99
"Denmark",4,1,"Germany",9,3,3,99
"France",10,1,"Cameroon",10,3,4,99
"Ecuador",1,1,"Morocco",8,3,5,99
"Netherlands",8,1,"Poland",1,3,6,99
"Brazil",7,1,"Jordan",6,3,7,99
"Colombia",6,1,"Belgium",8,2,8,99
"Korea Republic",3,1,"Austria",2,3,9,99
"Mexico",2,1,"Chile",10,2,10,99
"England",5,1,"Senegal",5,2,11,99
"Nigeria",2,2,"Tunisia",7,2,12,99
"Uruguay",9,2,"Italy",6,2,13,99
"Norway",11,2,"United States",1,2,14,99
"Wales",12,2,"Croatia",3,2,15,99
"Spain",4,2,"Australia",9,1,16,99
"Portugal",8,1,"Saudi Arabia",11,2,1,100
"Italy",10,1,"Qatar",8,3,2,100
"Belgium",12,1,"Jamaica",4,3,3,100
"England",11,1,"Senegal",11,3,4,100
"Denmark",3,1,"Chile",10,3,5,100
"Spain",5,1,"Ecuador",3,3,6,100
"Uruguay",7,1,"South Africa",6,3,7,100
"Argentina",4,1,"New Zealand",12,3,8,100
"Wales",4,2,"Switzerland",9,2,9,100
"Poland",2,1,"Austria",5,3,10,100
"Netherlands",6,1,"Nigeria",5,2,11,100
"France",9,1,"Australia",2,2,12,100
"United States",1,1,"Iran",1,2,13,100
"Japan",3,2,"Brazil",6,2,14,100
"Scotland",7,2,"Germany",12,2,15,100
"Croatia",8,2,"Egypt",10,2,16,100
